boat_items
;
model,category,description;
FY670,Cozinha,Cortina;
FY670,Cozinha,Bancada Comando principal;
FY670,Comando principal,Acesso ao deck (porta lateral);
FY670,Comando principal,Unidade de controle piloto automático;
"FY670,Comando principal,""Barômetro, relógio e higrômetro""";
FY670,Comando principal,Saída de acendedor de cigarro (12V);
FY670,Comando principal,Direção eletro-hidráulica;
"FY670,Comando principal,""Manetes eletrônicos para motores, com função easy-dock e funções auto-trolling""";
FY670,Comando principal,Contador de corrente digital eletrônico;
FY670,Comando principal,Carpete;
FY670,Comando principal,Bateria paralela instantânea;
FY670,Comando principal,Sistema de monitoramento integrado (integrado com sistema de navegação);
FY670,Comando principal,Bússola magnética;
FY670,Comando principal,Posição do leme principal com instrumentação completa;
"FY670,Comando principal,""Tela multifuncional para sistema de navegação (radar, plotter cartográfico, GPS, sonda, dados dos motores) (3)""";
FY670,Comando principal,Radar integrado com sistema de navegação;
FY670,Comando principal,Apoio de pés reclinável;
"FY670,Comando principal,""Banco do piloto, com movimentação manual (2)""";
FY670,Comando principal,Painéis elétricos secundários para corrente alternada e contínua;
FY670,Comando principal,Compartimento de armazenamento;
FY670,Comando principal,Quadro de distribuição sinóptico com alarmes;
FY670,Comando principal,VHF;
FY670,Comando principal,Limpa pára-brisas (2) com temporizador;
FY670,Comando principal,Revestimento de primer sob anti-incrustante;
FY670,Comando principal,Coberturas de proteção frontal e lateral do pára-brisas (na cor preta) FLYBRIDGE;
FY670,FLYBRIDGE,Acesso ao cockpit através de degraus em fibra de vidro e teca e corrimão em aço inoxidável;
FY670,FLYBRIDGE,Gaiúta da escada do cockpit com corrimão de aço inoxidável;
FY670,FLYBRIDGE,Iluminação de cortesia;
FY670,FLYBRIDGE,Cobertura para a posição do leme e banco do piloto;
FY670,FLYBRIDGE,Armário com pia;
"FY670,FLYBRIDGE,""Arco de radar em fibra de vidro e aço inoxidável (radar suporte, antenas, sinais, bandeira)""";
FY670,FLYBRIDGE,Coletes salva-vidas (10);
FY670,FLYBRIDGE,Boia salva-vidas com cabo flutuante;
FY670,FLYBRIDGE,Luzes de navegação;
FY670,FLYBRIDGE,Defletor frontal e lateral de acrílico;
"FY670,FLYBRIDGE,""Farol de busca manual com alcance de 1/2 milha, 12V""";
FY670,FLYBRIDGE,Sofá com espaço de armazenamento embaixo;
FY670,FLYBRIDGE,Guarda-corpo na popa;
FY670,FLYBRIDGE,Solário;
FY670,FLYBRIDGE,Mesa;
FY670,FLYBRIDGE,Antena de tv;
FY670,FLYBRIDGE,Buzina de alerta com compressor;
FY670,FLYBRIDGE,Alto-falantes estanques (2) Posição de comando do Flybridge;
FY670,Posição de comando do Flybridge,Direção eletro-hidráulica;
"FY670,Posição de comando do Flybridge,""Manetes eletrônicos para motores, com função easy-dock e funções auto-trolling""";
FY670,Posição de comando do Flybridge,Banco do piloto;
"FY670,Posição de comando do Flybridge,""Mini Hi-Fi, à prova d’água""";
"FY670,Posição de comando do Flybridge,""Tela multifuncional para sistema de navegação (radar, plotter cartográfico, GPS, sondas) repetidor""";
FY670,Posição de comando do Flybridge,Tomada 12V;
FY670,Posição de comando do Flybridge,Segunda posição de pilotagem equipada com instrumento e alarmes;
FY670,Posição de comando do Flybridge,VHF CONVÉS INFERIOR Hall/corredor;
FY670,Hall/corredor,Acesso ao deck principal (Escadaria de madeira);
FY670,Hall/corredor,Carpete;
FY670,Hall/corredor,Armazenamento sob a escada Cabine principal;
FY670,Cabine principal,Armários de cabeceira (2);
FY670,Cabine principal,Armário com gavetas;
FY670,Cabine principal,Armários com prateleiras;
FY670,Cabine principal,Espreguiçadeira;
"FY670,Cabine principal,""Mesa com gavetas, prateleiras, cadeira""";
"FY670,Cabine principal,""Cama de casal com colchão, travesseiros e colcha""";
FY670,Cabine principal,Carpete;
"FY670,Cabine principal,""Parede com gaveta, armário e prateleiras embutidas""";
FY670,Cabine principal,Janela do casco (2) com escotilha de aço inoxidável que pode ser aberta;
FY670,Cabine principal,Mini Hi-Fi;
FY670,Cabine principal,Luzes de leitura (2);
FY670,Cabine principal,Persiana romana;
FY670,Cabine principal,Cofre;
FY670,Cabine principal,Cabeceira estofada;
"FY670,Cabine principal,""Guarda-roupa com cabideiro, espelho e janela Banheiro Master""";
FY670,Banheiro Master,Armário com gaveta e espelho;
